연도,번호,도서명,저자명,출판사명
2013,196,21세기 한국외교와 국가이익,"장달중, 함택영",(주)사회평론
2013,197,국가 전쟁 한국,박상섭,도서출판 인간사랑
2013,198,지방분권과 균형발전에 기반한 자립적 지역발전론,"이성근 , 감 신, 강현수, 권오혁, 김광석, 김병태, 김세나, 김용현, 김주석, 나중규, 남광현, 박은희, 변창흠, 서정섭, 송재일, 오동욱, 유병규, 이동수, 이문희, 임규채, 정걸진, 정회훈, 조득환, 최영은, 하혜수, 한근수",도서출판 집현재
2013,199,생태주의 행정철학 : 생태관료 육성의 철학적 기반을 찾아서,이도형,한국학술정보(주)
2013,200,국방정책론,한용섭,(주)박영사
2013,201,공공선택,"김재한, 김대진, 김종욱, 안도경, 윤홍근, 이성규, 한정훈",(주)박영사
2013,202,복지국가 재정전략,윤영진,도서출판 대영문화사
2013,203,건강 환경 사회를 하나로 묶는 먹거리정책,"팀 랭, 데이비드 발링, 마틴 캐러허",도서출판 따비
2013,204,한국행정사상사,나중식,(주)서울경제경영출판사
2013,205,융합과 통섭,김성철 외,나남출판사
2013,206,"디지털, 테크놀로지, 문화","임종수, 김예란, 김성해, 강진숙, 심영섭, 이광석, 김선아, 박진우, 맹정현, 김수철, 이희은, 소영현",도서출판 한울
2013,207,"저널리즘 생존 프레임, 대화·생태·전략",김사승,커뮤니케이션북스(주)
2013,208,"한국의 소리 커뮤니케이션: 쇠북소리, 징소리, 풍물, 민요, 판소리, 산조, 유행가의 메시지",김성재,커뮤니케이션북스(주)
2013,209,부산 언론사 연구,채백,산지니
2013,210,고려대장경과 교장의 연구,천혜봉,종합출판 범우(주)
2013,211,한국금속활자 인쇄사,천혜봉,종합출판 범우 (주)
2013,212,백제 국가권력의 확산과 지방,강종원,서경문화사
2013,213,조선조 사족사회의 전개,박홍갑,일지사
2013,214,이승만과 하와이 한인사회,"이덕희, 윤종문, 오영섭, 홍선표, 김도형, 김권정",연세대학교 대학출판문화원
2013,215,신라의 바다 황해,권덕영,(주)일조각
2013,216,해남 윤씨가의 간척과 도서 경영,정윤섭,민속원
2013,217,영의정의 경륜,이성무,(주)지식산업사
2013,218,고려시기토지제도연구,이경식,(주)지식산업사
2013,219,한국 근대 도면의 원점,"전봉희, 이규철, 서영희",(사)서울대학교출판문화원
2013,220,미쩰의 시기-을미사변과 아관파천,김영수,경인문화사
2013,221,도산서원과 지식의 탄생,"정만조, 정순우, 김종석, 손숙경, 이헌창, 이수환, 옥영정",글항아리
2013,222,"근대의 가족, 근대의 결혼-가족과 결혼으로 본 근대 한국의 풍경",김경일,도서출판 푸른역사
2013,223,근대이행기의유림,권오영,돌베개
2013,224,조선정치의 마지막 얼굴 - 19세기 조선의 정치세력과 대외관계,연갑수,(주)사회평론
2013,225,해방 후 중국ㆍ대만지역 한인의 귀환,"김승일, 김춘선, 박민영, 서행, 손염홍, 장석흥, 한시준, 황선익",역사공간
2013,226,성호 이익 연구,"최석기, 정만조, 이헌창 , 김문식, 구만옥",성균관대학교 출판부
2013,227,다산 정약용 연구,"송재소, 이봉규, 김태영, 안병직, 조성을",성균관대학교 출판부
2013,228,한국어 문법론의 개념어 연구,이선웅,도서출판 월인
2013,229,한국어의 표준 발음과 현실 발음,이진호,아카넷
2013,230,한국어 문법론,권재일,태학사
2013,231,한국 자전의 역사,박형익,도서출판 역락
2013,232,발견을 위한 한국어 문법론,이정훈,서강대학교출판부
2013,233,여유당전서 미수록 다산 간찰집,박철상,도서출판 사암
2013,234,고시조대전,"김흥규, 이형대, 이상원, 김용찬, 권순회, 신경숙, 박규홍",고려대학교민족문화연구원
2013,235,"역주 약산시부 (1, 2)",여운필,도서출판 월인
2013,236,조선후기 근기남인시맥의 형성과 전개,윤재환,문예원
2013,237,조선시대 시가의 역사적 이해와 전망,최현재,소명출판
2013,238,한문산문 글쓰기론의 논리와 전개,김철범,도서출판 보고사
2013,239,불교담론과 고전서사,김진영,도서출판 보고사
2013,240,한국 한문기초학사 (1~3),심경호,태학사
2013,241,임원경제지:조선 최대의 실용백과사전,풍석 서유구,(주)씨앗을뿌리는사람
2013,242,조희룡과 추사파중인의시대,한영규,학자원
2013,243,실학파 문학 연구,"이지양, 이현우, 이철희, 한영규, 손혜리",성균관대학교 출판부
2013,244,문학,최원식,도서출판 소화
