검색어 ,,,,,,,
총 525건 중 525건 출력,,,,,,,
No.,자료 유형,서명,저자,출판사,청구기호,출판년,수록 매체
238,단행본,암호학과 네트워크 보안,"Forouzan, Behrouz A",한티미디어,005.8 017러,2017 / 수정판,
239,단행본,약의 역사,김규원,범문에듀케이션,615.1 017고,2017,
240,단행본,중국의 교육 : 불평등을 극복할 수 있을까,원전무인 園田茂人,한울,370.952 017가,2017,
241,단행본,창의,오창환,한국학술정보,153.35 017누,2017,
242,단행본,특수체육론,최승권,Rainbow Books : 레인보우북스,371.9044 018가,2018,
243,단행본,하폐수공학,김창원 金昌元,동화기술,628.3 017거,2017,
244,단행본,학문과 정치 : 막스 베버와 21세기 전자인간시대,양성철 梁性喆,고려대학교 출판문화원,320.01 017다,2017,
245,단행본,한국 마애불의 조형성,이성도 李成道,진인진,734.5 017거,2017,
246,단행본,한국어 생성 통사론,김용하 金龍河,역락,411.5 018거,2018,
247,단행본,한국의 교육행정 탐구,임연기,공동체,371.2 018고,2018,
248,단행본,한약 독성학. 3,박영철,한국학술정보,619.4 017갸,2017,
249,단행본,항공모함 공학,손호재,GS인터비전,623.8255 017가,2017,
250,단행본,해양원격탐사 : 4차 산업혁명과 해양원격탐사 Big data의 활용,윤홍주,위즈덤플,622.17 018가,2018,
251,단행본,현대 지리교육학의 이해 : 최신 지리교육 연구의 동향과 성과,심광택,푸른길,910.7 018가,2018,
252,단행본,협상의 미학 : 상생 협상의 이론과 적응,하혜수 河慧洙,박영사,302.3 017갸,2017,
253,단행본,회로망 합성과 필터 설계,윤창훈,휴먼싸이언스,621.3192 017냐,2017,
254,단행본,한국 개신교의 타자인식,이진구,모시는사람들,275.1 018느,2018,
255,단행본,친일음악론,노동은 魯棟銀,민속원,음악도 780.951 017겨,2017,
256,단행본,조선왕실 여인들의 복식,김소현 金素賢,민속원,391.00951 017거,2017,
257,단행본,유교공동체와 의례문화,김미영 金美榮,민속원,390.0951 018기,2018,
258,단행본,(첨단) 교통안전공학,오영태,청문각,629.04 018가,2018,
259,단행본,(최신) 철도교통 공학,박정수,청문각,625.1 017갸,2017,
260,단행본,가족 정책론,노병일,정민사,306.85 017기,2017,
261,단행본,개인과 공동체를 위한 복지,신창환,경북대학교출판부,361 018고,2018,
262,단행본,고려후기 한시의 미적 특질,하정승 河政承,박영사,811.913 017가,2017,
263,단행본,국제형사법,김기준,박영사,법학도 345 017먀,2017,
264,단행본,근감소증 : muscle wasting disease,대한근감소증학회,군자출판사,616.74 017가,2017,
265,단행본,노화의 심리학,"Stuart-Hamilton, Ian",서울대학교출판문화원,155.67 017갸,2017,
266,단행본,뇌졸중 MRI의 이해와 정량분석 : 매트랩을 이용한 참조표준/뇌지도 제작,김동억,범문에듀케이션,BA 616.81 017가,2017,
