검색어 ,,,,,,,
총 333건 중 333건 출력,,,,,,,
No.,자료 유형,서명,저자,출판사,청구기호,출판년,수록 매체
165,단행본,따뜻한 인간의 탄생 : 체온의 진화사,"IJzerman, Hans Rocha",머스트리드북,612.01426 021가,2021,
166,단행본,다섯 번째 위험,"Lewis, Michael (Michael M.)",비즈니스맵,320.973 021구,2021,
167,단행본,"거대한 가속 : 포스트 코로나 시대, 우리 앞에 다가온 역사의 변곡점","Galloway, Scott",리더스북,338.9 021갸,2021,
168,단행본,제비심장 : 김숨 장편소설,김숨,문학과지성사,811.37 김숨 제021가,2021,
169,단행본,과학하는 마음 : 매일의 실패를 넘어 경이와 호기심의 세계로,전주홍,바다출판사,502 021녀,2021,
170,단행본,"문턱의 청년들 : 한국과 중국, 마주침의 현장",조문영 趙文英,책과함께,305.242 021교,2021,
171,단행본,계절 산문,박준,달,811.4 박준 계021가,2021,
172,단행본,중독에 빠진 뇌 과학자 : 밑바닥 약물중독자였던 뇌 과학자가 밝히는 중독의 모든 것,"Grisel, Judith",심심 : 푸른숲,616.86 021가,2021,
173,단행본,"원자폭탄 : 2차대전을 종결한, 잔혹하고 압도적인 무기의 역사",Alcante,레드리버,741.5944 AL16b 021가,2021,
174,단행본,송나라의 슬픔,소건생 蕭建生,글항아리,952 021그,2021,
175,단행본,한국의 여성 기자 100년,정진석,나남,070.43 021규,2021,
176,단행본,글래시스 로드 : 안경으로 읽는 유라시아 교역 네트워크,한지선,위즈덤하우스,391.44 021갸,2021,
177,단행본,나무 신화 : 나무로 본 유럽 민속의 기원과 효능,"Laudert, Doris",수류산방,582.16 021고,2021,
178,단행본,지식의 헌법 : 왜 우리는 진실을 공유하지 못하는가,"Rauch, JonatUTH299054",에코리브르,323.443 021갸,2021,
179,단행본,우리가 오르지 못할 방주 : 심너울 장편소설,심너울,안전가옥,811.37 심너울 우021가,2021,
180,단행본,한국 현대시 : 그 문학사적 맥락을 찾아서,염무웅 廉武雄,다산북스 : 사무사책방,811.109 021댜,2021,
181,단행본,턴어웨이 : 임신중지를 거부당한 여자들,"Foster, Diana Greene",동녘,362.19888 021갸,2021,
182,단행본,므레모사 : 김초엽 소설,김초엽,현대문학,811.37 김초엽 므021가,2021,
183,단행본,우리 몸이 말을 할 수 있다면 : 의학 전문 저널리스트의 유쾌하고 흥미로운 인간 탐구 보고서,"Hamblin, James",추수밭,613 021교,2021,
184,단행본,비커밍 김정은 : CIA가 심층 분석한 북한 젊은 독재자 김정은의 삶과 야망,박정현,다산북스,951.8092 김정은 021갸,2021,
185,단행본,임포스터 : 가면을 쓴 부모가 가면을 쓴 아이를 만든다,"손, 리사",21세기북스,371.30281 022거,2022,
186,단행본,르코르뷔지에 미워,길전연개 吉田硏介,집,720.944 L496Y 021가,2021,
187,단행본,(조선이 본) 고려 : 승자의 역사를 뒤집는 조선 역사가들의 고려 열전,박종기,휴머니스트,951.4 021거,2021,
188,단행본,빛의 공화국 : 안드레스 바르바 소설,"Barba, Andrés",현대문학,863 B232r 021가,2021,
189,단행본,엉망인 채 완전한 축제,"Jaouad, Suleika",윌북,616.99419 022가,2022,
190,단행본,판타 레이 : 혁명과 낭만의 유체 과학사,민태기,사이언스북스,509 021구,2021,
