,주류,제목,저자,링크,출판사,출판 연도
372,400,(재미있는) 중국어 속담,오홍엽,https://library.yonsei.ac.kr/search/detail/CATTOT000000768116,친디루스,2010
373,400,(중국어권 학습자를 위한) 속담교육 연구,양정 楊靜,https://library.yonsei.ac.kr/search/detail/CATTOT000002086709,박문사,2021
374,400,(중국어와 한국어의) 어순대비연구,태평무,https://library.yonsei.ac.kr/search/detail/CATTOT000000076839,신성출판사,2005
375,400,(한 번에 끝!) OPIc 스페인어,신승,https://library.yonsei.ac.kr/search/detail/CATTOT000002127371,ECK Books,2022
376,400,(해커스) JLPT(일본어능력시험) N4 한 권으로 합격,해커스 JLPT 연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002136213,해커스어학연구소,2021
377,400,An introduction to language,"Fromkin, Victoria",https://library.yonsei.ac.kr/search/detail/CATTOT000002050507,Cengage learning,2017
378,400,KBS 한국어능력시험 유형으로 2주 합격,한국어능력시험연구회,https://library.yonsei.ac.kr/search/detail/CATTOT000002136708,SD에듀 : 시대고시기획,2023
379,400,New TEPS 서울대 텝스관리위원회 공식 기술문제집 : 4회분,서울대학교. TEPS관리위원회,https://library.yonsei.ac.kr/search/detail/CATTOT000002116632,시원스쿨Lab : 에스제이더블유인터내셔널,2021
380,400,OPIc 표현사전,LTS 영어연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000000891075,사람in,2014
381,400,Official TOEFL iBT tests. v. 1,Educational Testing Service,https://library.yonsei.ac.kr/search/detail/CATTOT000002122376,YBM,2021
382,400,Principles of language learning and teaching : a course in second language acquisition,"Brown, H. Douglas",https://library.yonsei.ac.kr/search/detail/CATTOT000001784079,Pearson,2014
383,400,认知语法概论,왕인 王寅,https://library.yonsei.ac.kr/search/detail/CATTOT000002053542,上海外语教育出版社,2006
384,400,고려대 한국어. 3A,고려대학교. 한국어센터,https://library.yonsei.ac.kr/search/detail/CATTOT000002022072,고려대학교출판문화원,2020
385,400,고려대 한국어. 3B,고려대학교. 한국어센터,https://library.yonsei.ac.kr/search/detail/CATTOT000002023370,고려대학교출판문화원,2020
386,400,국어 교육의 이해 : 국어 교육의 미래를 모색하는 열여섯 가지 이야기,최미숙,https://library.yonsei.ac.kr/search/detail/CATTOT000002165750,사회평론아카데미,2023
387,400,국어 운율론,이호영,https://library.yonsei.ac.kr/search/detail/CATTOT000000048493,韓國硏究院,1997
388,400,딱 50일 압축 영문법 : 영어 회화 + 독해 실력 급상승 50일 플랜,정재영,https://library.yonsei.ac.kr/search/detail/CATTOT000002048292,알에이치코리아,2021
389,400,모질게토익 정재현 RC,정재현,https://library.yonsei.ac.kr/search/detail/CATTOT000000845108,북이십일세기 21세기북스,2013
390,400,문장구조 덕분에 영어 공부가 쉬워졌습니다 : 트리(tree)로 쉽게 배우는 영어 문장 x-ray,키 영어학습방법연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000001964115,키출판사,2018
391,400,보정 한글 맞춤법 강의,이희승,https://library.yonsei.ac.kr/search/detail/CATTOT000002126602,신구문화사,2018
392,400,부사의 통사적 기능과 부정의 범위,서상규 徐尙揆,https://library.yonsei.ac.kr/search/detail/CATTOT000000312388,연세대학교 대학원,1983
393,400,서울대 한국어+ : Student's book. 5A,장소원,https://library.yonsei.ac.kr/search/detail/CATTOT000002188057,서울대학교출판문화원,2023
394,400,서울대 한국어+ : Student's book. 5B,장소원,https://library.yonsei.ac.kr/search/detail/CATTOT000002188058,서울대학교출판문화원,2023
395,400,서울대 한국어+ : student's book. 2A,장소원,https://library.yonsei.ac.kr/search/detail/CATTOT000002145408,서울대학교출판문화원,2022
396,400,서울대 한국어+ : student's book. 2B,장소원,https://library.yonsei.ac.kr/search/detail/CATTOT000002145411,서울대학교출판문화원,2022
397,400,서울대 한국어+ : student's book. 4A,장소원,https://library.yonsei.ac.kr/search/detail/CATTOT000002178092,서울대학교출판문화원,2023
398,400,서울대 한국어+ : student's book. 4B,장소원,https://library.yonsei.ac.kr/search/detail/CATTOT000002178090,서울대학교출판문화원,2023
399,400,서울대 한국어+ : student's book. 6A,장소원,https://library.yonsei.ac.kr/search/detail/CATTOT000002188055,서울대학교출판문화원,2023
400,500,(손안의) 인피니티 : 꼭 알아야 할 무한대에 관한 3000가지 사실들!,"Flynn, Mike",https://library.yonsei.ac.kr/search/detail/CATTOT000000872353,Gbrain,2013
401,500,Molecular cell biology,"Lodish, Harvey",https://library.yonsei.ac.kr/search/detail/CATTOT000002045508,Macmillan Learning,2021
402,500,최신선형대수,"Anton, Howard",https://library.yonsei.ac.kr/search/detail/CATTOT000000212119,교보문고,2008
403,500,"(EXCEL, SPSS, R로 배우는) 통계학 입문",강상욱,https://library.yonsei.ac.kr/search/detail/CATTOT000002099715,자유아카데미,2022
404,500,구조방정식모형으로 논문 쓰기,김주환 金周煥,https://library.yonsei.ac.kr/search/detail/CATTOT000000216246,커뮤니케이션북스,2009
405,500,수리통계학 개론,"Hogg, Robert V",https://library.yonsei.ac.kr/search/detail/CATTOT000001919376,경문사,2018
406,500,이기적 유전자 : 진화론의 새로운 패러다임,"Dawkins, Richard",https://library.yonsei.ac.kr/search/detail/CATTOT000000760191,을유문화사,2010
407,500,한번에 통과하는 논문 : SPSS 결과표 작성과 해석 방법,히든그레이스. 논문통계팀,https://library.yonsei.ac.kr/search/detail/CATTOT000001894570,한빛아카데미,2018
408,500,"(EXCEL, SPSS, R로 배우는) 통계학 입문",강상욱,https://library.yonsei.ac.kr/search/detail/CATTOT000000897404,자유아카데미,2014
409,500,"(Kreyszig 공업수학, 개정10판) 문제풀이 해설 = : Advanced engineering mathematics, 10th ed. students solutions manual","Kreyszig, Erwin",https://library.yonsei.ac.kr/search/detail/CATTOT000000863164,범한서적,2011
410,500,(Stryer) 생화학,"Berg, Jeremy M. (Jeremy Mark)",https://library.yonsei.ac.kr/search/detail/CATTOT000002019982,범문에듀케이션,2020
411,500,(의료인을 위한) R 생존분석,문건웅,https://library.yonsei.ac.kr/search/detail/CATTOT000002116898,한나래아카데미,2022
